nid,標題,疑似CSS或JS外洩,風險等級,問題類型,問題片段,內文,議題分類,行動分類,關鍵字
32,照片,否,,,,"<p><img width=""150"" src=""/sites/cet-taiwan.org/files/u1/clip_image002_0_0.jpg"" alt=""地球公民團體照"" height=""100"" loading=""lazy""> </p>
<p>
日本的春天
</p>
<p>
&nbsp;
</p>
<p>
&nbsp;
</p>
<p>
&nbsp;
</p>
<p>
這天的大氣
</p>",,,
529,第6期,否,,,,"<div>








<div>
<a href=""http://issuu.com/met2007/docs/met6pdf?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Fgrass%2Flayout.xml&amp;showFlipBtn=true"">Open publication</a> - Free <a href=""http://issuu.com"">publishing</a> - <a href=""http://issuu.com/search?q=ngo"">More ngo</a>
</div>
</div>",,,
530,第1期,否,,,,"<div>
<div><a href=""http://issuu.com/met2007/docs/met1?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Fgrass%2Flayout.xml&amp;showFlipBtn=true"">Open publication</a> - Free <a href=""http://issuu.com"">publishing</a> - <a href=""http://issuu.com/search?q=tawian"">More tawian</a></div>
</div>
<p>
<a href=""/journalview/72"">◆地球公民協會通訊文字版◆ </a></p>
<div>
</div>",,,
543,第2期,否,,,,"<div>








<div>
<a href=""http://issuu.com/met2007/docs/met2?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Fgrass%2Flayout.xml&amp;showFlipBtn=true"">Open publication</a> - Free <a href=""http://issuu.com"">publishing</a> - <a href=""http://issuu.com/search?q=tree"">More tree</a>
</div>
</div>
<div>
 <a href=""/journalview""> ◆地球公民協會通訊文字版◆</a>
</div>",,,
544,第4期,否,,,,"<div>
<div><a href=""http://issuu.com/met2007/docs/met4?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Fgrass%2Flayout.xml&amp;showFlipBtn=true"">Open publication</a> - Free <a href=""http://issuu.com"">publishing</a> - <a href=""http://issuu.com/search?q=tree"">More tree</a></div>
</div>
<div> <a href=""/journalview""> ◆地球公民協會通訊文字版◆ </a> </div>",,,
600,第3期,否,,,,"<div>
<div><a href=""http://issuu.com/met2007/docs/met3?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Fgrass%2Flayout.xml&amp;showFlipBtn=true"">Open publication</a> - Free <a href=""http://issuu.com"">publishing</a> - <a href=""http://issuu.com/search?q=tree"">More tree</a></div>
</div>
<p><a href=""http://met.ngo.org.tw/journalview"">◆地球公民協會通訊文字版◆</a></p>
<p>&nbsp;</p>",,,
618,【地球公民教育手冊】低碳有機  簡樸新社會,否,,,,"<div>
<div><a href=""http://issuu.com/met2007/docs/met_?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Fgrass%2Flayout.xml&amp;showFlipBtn=true"">Open publication</a> - Free <a href=""http://issuu.com"">publishing</a> - <a href=""http://issuu.com/search?q=tawian"">More tawian</a></div>
</div>",,,
619,第5期,否,,,,"<div>
<div><a href=""http://issuu.com/met2007/docs/met5?mode=embed&amp;layout=http%3A%2F%2Fskin.issuu.com%2Fv%2Fgrass%2Flayout.xml&amp;showFlipBtn=true"">Open publication</a> - Free <a href=""http://issuu.com"">publishing</a> - <a href=""http://issuu.com/search?q=mushrooms"">More mushrooms</a></div>
</div>",,,
676,地球公民協會通訊第7期,否,,,,,,,
708,地球公民協會通訊第8期,否,,,,"<p></p>
<p>更正啟示： 通訊第八期第19頁「彰化鄉親參訪高雄後勁 環運人士真情交流」一文，原彰化縣淺海養殖協會林濟民理事長更正為「彰化縣養殖漁業發展協會林濟民總幹事 」。</p>",,,
